edition_a,section_a,edition_b,section_b,relation,method
1997-online-draft,1.1,1.0-errata-2014,1.1,changed,section-number
1997-online-draft,1.2,1.0-errata-2014,1.2,changed,section-number
1997-online-draft,1.3,1.0-errata-2014,1.3,changed,section-number
1997-online-draft,1.4,1.0-errata-2014,1.4,identical,section-number
1997-online-draft,1.5,1.0-errata-2014,1.5,changed,section-number
1997-online-draft,1.6,1.0-errata-2014,1.6,changed,section-number
1997-online-draft,1.7,1.0-errata-2014,1.7,changed,section-number
1997-online-draft,1.8,1.0-errata-2014,1.8,changed,section-number
1997-online-draft,10.1,1.0-errata-2014,10.1,changed,section-number
1997-online-draft,10.10,1.0-errata-2014,10.10,changed,section-number
1997-online-draft,10.11,1.0-errata-2014,10.11,changed,section-number
1997-online-draft,10.12,1.0-errata-2014,10.12,changed,section-number
1997-online-draft,10.13,1.0-errata-2014,10.13,changed,section-number
1997-online-draft,10.14,1.0-errata-2014,10.14,changed,section-number
1997-online-draft,10.15,1.0-errata-2014,10.15,changed,section-number
1997-online-draft,10.16,1.0-errata-2014,10.16,changed,section-number
1997-online-draft,10.17,1.0-errata-2014,10.17,changed,section-number
1997-online-draft,10.18,1.0-errata-2014,10.18,changed,section-number
1997-online-draft,10.19,1.0-errata-2014,10.19,changed,section-number
1997-online-draft,10.2,1.0-errata-2014,10.2,changed,section-number
1997-online-draft,10.20,1.0-errata-2014,10.20,changed,section-number
1997-online-draft,10.21,1.0-errata-2014,10.21,changed,section-number
1997-online-draft,10.22,1.0-errata-2014,10.22,changed,section-number
1997-online-draft,10.23,1.0-errata-2014,10.23,changed,section-number
1997-online-draft,10.24,1.0-errata-2014,10.24,changed,section-number
1997-online-draft,10.25,1.0-errata-2014,10.25,changed,section-number
1997-online-draft,10.26,1.0-errata-2014,10.26,changed,section-number
1997-online-draft,10.27,1.0-errata-2014,10.27,changed,section-number
1997-online-draft,10.28,1.0-errata-2014,10.28,changed,section-number
1997-online-draft,10.3,1.0-errata-2014,10.3,changed,section-number
1997-online-draft,10.4,1.0-errata-2014,10.4,changed,section-number
1997-online-draft,10.5,1.0-errata-2014,10.5,changed,section-number
1997-online-draft,10.6,1.0-errata-2014,10.6,changed,section-number
1997-online-draft,10.7,1.0-errata-2014,10.7,changed,section-number
1997-online-draft,10.8,1.0-errata-2014,10.8,changed,section-number
1997-online-draft,10.9,1.0-errata-2014,10.9,changed,section-number
1997-online-draft,11.1,1.0-errata-2014,11.1,changed,section-number
1997-online-draft,11.10,1.0-errata-2014,11.10,changed,section-number
1997-online-draft,11.11,1.0-errata-2014,11.11,changed,section-number
1997-online-draft,11.12,1.0-errata-2014,11.12,changed,section-number
1997-online-draft,11.13,1.0-errata-2014,11.13,changed,section-number
1997-online-draft,11.2,1.0-errata-2014,11.2,changed,section-number
1997-online-draft,11.3,1.0-errata-2014,11.3,changed,section-number
1997-online-draft,11.4,1.0-errata-2014,11.4,changed,section-number
1997-online-draft,11.5,1.0-errata-2014,11.5,changed,section-number
1997-online-draft,11.6,1.0-errata-2014,11.6,changed,section-number
1997-online-draft,11.7,1.0-errata-2014,11.7,changed,section-number
1997-online-draft,11.8,1.0-errata-2014,11.8,changed,section-number
1997-online-draft,11.9,1.0-errata-2014,11.9,changed,section-number
1997-online-draft,12.1,1.0-errata-2014,12.1,changed,section-number
1997-online-draft,12.10,1.0-errata-2014,12.10,changed,section-number
1997-online-draft,12.11,1.0-errata-2014,12.11,changed,section-number
1997-online-draft,12.12,1.0-errata-2014,12.12,changed,section-number
1997-online-draft,12.13,1.0-errata-2014,12.13,changed,section-number
1997-online-draft,12.14,1.0-errata-2014,12.14,changed,section-number
1997-online-draft,12.15,1.0-errata-2014,12.15,changed,section-number
1997-online-draft,12.16,1.0-errata-2014,12.16,changed,section-number
1997-online-draft,12.2,1.0-errata-2014,12.2,changed,section-number
1997-online-draft,12.3,1.0-errata-2014,12.3,changed,section-number
1997-online-draft,12.4,1.0-errata-2014,12.4,changed,section-number
1997-online-draft,12.5,1.0-errata-2014,12.5,changed,section-number
1997-online-draft,12.6,1.0-errata-2014,12.6,changed,section-number
1997-online-draft,12.7,1.0-errata-2014,12.7,changed,section-number
1997-online-draft,12.8,1.0-errata-2014,12.8,changed,section-number
1997-online-draft,12.9,1.0-errata-2014,12.9,changed,section-number
1997-online-draft,13.1,1.0-errata-2014,13.1,changed,section-number
1997-online-draft,13.10,1.0-errata-2014,13.10,changed,section-number
1997-online-draft,13.11,1.0-errata-2014,13.11,changed,section-number
1997-online-draft,13.12,1.0-errata-2014,13.12,changed,section-number
