url,sha256,bytes,server_date,capture_date,note
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz,ee929be61039ff6d9579867f2708720a4ecd77f1b2d416aa8224b4eaa541ad48,16021914,,,"Complete historical grammar backup mirrored from teddyb.org; RCS/lojban.peg,v replays internally and its head equals lojban.peg."
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./abnf2peg.pl,23750d87f6fdf101ef5252a5a4923861afc06fa07397945f16b288fd82423f95,988,2004-03-17T20:08:59+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./bnf.vim,e252396cd045c056640b4fc1f58e80d050698ca89da2a77e569c3842acc52583,1383,2004-02-10T23:32:20+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./bnf_conv.pl,e4ccaac3224b9b247109be66a60e3b51ef2ce1f4e9a8d646bf54fd22631a2b3f,1520,2004-02-10T22:27:01+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./earley/abnf2e2.pl,4d5b08dbc512d1b1c77428a66d28f3b46f39f4805c4aace98c69727f77b6d237,2056,2004-02-16T09:13:17+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./earley/abnf2earley.pl,190840f81952f8cdd3f2c4ff489d3ffb858ee0ee0847a9d9cc44790a62bf897a,1981,2004-02-12T00:39:49+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./earley/earley.pl,c4574de1e6bc45dfbe4713570e1274c485454f53fd90992d9426801c38fe58d9,3492,2004-02-13T18:30:44+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./earley/new.earley,eebd7425f633e0acf00aac833a7a3d0218ed1a9ec6fa1d0291818e2289416a5f,45016,2004-02-20T20:57:39+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./earley/page.html,dbcbefedfc6526d6f15d815c48d9c14abe94d7b1a8856d1715a58c7c3eabfcd7,502,2004-03-16T20:21:03+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./jc_mail.txt,69cf147d58d048ebd7426a7f8927881db972258a19b0e4dd8a2d427b7755465f,11132,2004-02-10T23:24:06+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./lojban.abnf,1a4c52c602439e09e726f39f35ef147c4cff3e29a89a1b7d3856814cd5640992,21359,2004-03-28T18:46:28+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./lojban2.bnf,098b889115cd109248bcae6bc49d45ea993b53a3e1e7df335a0d7e26d0749fb3,8777,2004-02-11T00:22:28+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./lojban_morphology_old.peg,007005616172ac42ddf499f8196cb97310f0859edb56035dc55c29e8a780af82,22887,2007-05-30T07:49:56+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./morph_header.peg,8168e216cfef197c71f060573ef3ccfafef273b526b611c852357e2c2238a7e1,2054,2005-12-16T23:35:44+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./morph_test_sentences.txt,f95a9a15b5d6529a870dbea3894785d8e7198ef755f1784da6d63ac46f774d8e,1092705,2005-02-25T22:00:35+00:00,,Mixed-encoding bytes rendered reversibly with grammar-bytes/1.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./old/abnf2bison.pl,79070630b2dc345897b7e8eaa00cd3eb5a3bbf7e27fa100c85c5f904e9b3abc9,81247,2004-02-11T22:59:49+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./old/new.abnf.old,3e10bb64efb67c50c07036c197ac845b492fcfae9ee0f34eb788f726e6c2e9bf,8954,2004-02-11T00:46:39+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./old/new_diffs.txt.old,d5a2c68988381fdcbc6fdf46a5afddee320f0d0e60bb08e6f466ce2e635771d1,2067,2004-02-11T01:04:10+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./orig_lojban.peg,6c7d53b4010ce3b907108036a9c50cddb2c477617d3200d39ebd21ab3ea414a6,21730,2004-03-17T20:08:46+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./rats/Howto.cook,692abd8efe0dc836b0e14cfe9ccfe2eb171ca7184c5236feb50ac2953cc985a1,1235,2005-12-16T23:41:27+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./rats/lojban_peg_parser.jar,3373a835244cfaf17be6d37a4091ed81bcea6aa20d02e21453c466c38675928e,859090,2006-08-21,,Binary Java parser retained in the archive; not projected.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./rats/peg2rats.pl,e68f7842aef6400d2b3f2d06fc6b3ca3e239bb1b6a15aad54e1f81e77ea89658,8098,2005-12-17T00:00:39+00:00,,Text support member projected in its file-dated event; CRLF is normalized to LF.
http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz#./test_sentences.txt,5f14a9a5747771720d6dcda669245a9ae3791d560465b80c915e52e69c8e3c28,899399,2005-01-28T19:16:33+00:00,,Mixed-encoding bytes rendered reversibly with grammar-bytes/1.
