name,author,language,formalism,dialect,years,mechanism,upstream,licence
Lojban semantic analyser,Nick Nicholas,NU-Prolog + lex,semantic analyser over official parser output,2nd baseline,1993,vendor,https://lojban.org/files/software/analyser,LLG permission grant
Official LLG grammar lineage,Logical Language Group,YACC / BNF,YACC and EBNF generations,official baselines 1-3,1989-1997,vendor,https://lojban.org/files/history/,LLG permission grant; 3rd baseline public domain
Official LLG parser (2nd baseline),John Cowan for LLG,K&R C + YACC,YACC + lexer pre-pass,2nd baseline,1989-1993,vendor,https://www.lojban.org/files/software/parser/parser.shar.gz,LLG permission grant
Official LLG parser 3.0.00,John Cowan,K&R C + YACC,YACC + lexer pre-pass,3rd baseline,2001-2003,submodule,https://github.com/lojban/cll-parser,AFL-2.0
cakyrespa,Yoshikuni Jujo,Haskell,parser consumer,lojbanParser,2012,cite,https://github.com/YoshikuniJujo/cakyrespa,BSD-3-Clause
camxes (RCS replay),Robin Lee Powell,PEG,Parsing Expression Grammar,camxes standard,2004-2011,replayed,http://teddyb.org/~rlpowell/hobbies/lojban/grammar/hlg_backup__2011-01-11.tgz,no licence
camxes git snapshot,Robin Lee Powell,PEG,PEG,camxes standard,2011,cite,https://github.com/lojban/camxes,no licence
camxes-py,Riley Martinez-Lynch; LLG contributors,Python,Parsimonious PEG,ilmentufa standard,2014-2021,submodule,https://github.com/lojban/camxes-py,MIT
camxes-rs,unknown,Rust,generic PEG generator,not a Lojban parser,2024-2026,skip,https://github.com/lojban/camxes-rs,no licence
camxes.js,Masato Hagiwara,JavaScript,PEG.js,camxes standard,2013-2014,submodule,https://github.com/mhagiwara/camxes.js,MIT
genrei,zhuangzi,Haskell,parser,experimental,unknown,cite,https://github.com/zhuangzi/genrei,not verified
gentufa,mezohe,JavaScript,PEG.js,standard,2014-2021,cite,https://github.com/mezohe/gentufa,MIT
genturfahi,Alan Post,Scheme,packrat engine,generic,2010-2012,submodule,https://github.com/alanpost/genturfahi,ISC
gerna_cipra,guskant,JavaScript / PEG,PEG.js variants,zantufa / maftufa / maltufa,2015-2019,submodule,https://github.com/guskant/gerna_cipra,GPL-2.0
ilmentufa (canonical),Ilmen; LLG contributors,PEG.js,PEG.js,standard / beta / experimental / morphology,2016-present,submodule,https://github.com/lojban/ilmentufa,MIT
ilmentufa (original),Ilmen; lagleki,JavaScript / PEG.js,PEG.js,standard + experimental,2014-2015,submodule,https://github.com/Ntsekees/ilmentufa,MIT
jbofihe,Richard Curnow; LLG contributors,C,Bison + generated morphology DFA,3rd baseline,1999-present,submodule,https://github.com/lojban/jbofihe,GPL-2.0
jbogenturfa'i,Alan Post,Scheme,PEG,camxes standard,2010-2013,submodule,https://github.com/alanpost/jbogenturfahi,ISC
jbotci,Pavel Minaev,Rust,hand-written generated recursive descent,CLL baseline + gated camxes-exp / zantufa,2026-present,submodule,https://github.com/int19h/jbotci,MIT
johaus,Ethan Burns,Go,generated PEG parsers,camxes / ilmentufa / maftufa / zantufa,2017-2019,submodule,https://github.com/eaburns/johaus,MIT
lojbanParser,Yoshikuni Jujo,Haskell,parser,pre-zasni,2012-2014,cite,https://github.com/YoshikuniJujo/lojban_parser,no licence in repo
lojysamban,Yoshikuni Jujo,Haskell,parser consumer,lojbanParser,2012-2014,cite,https://github.com/YoshikuniJujo/lojysamban,BSD-3-Clause
nei,lynn,TypeScript,modern parser,standard,2025,cite,https://github.com/lynn/nei,no licence
python-camxes,LLG contributors,Python,JVM bridge,camxes standard,2011-2014,cite,https://github.com/lojban/python-camxes,BSD-2-Clause
sneturfahi,Matt F. Bacon,Rust,hand-written,standard,2022-2023,cite,https://github.com/mattfbacon/sneturfahi,AGPL-3.0
sotygeha,IGJoshua,PEG,zantufa-derived,sotygeha,2019-2020,cite,https://github.com/IGJoshua/sotygeha,no licence
tersmu (LLG continuation),Martin Bays; LLG contributors,Haskell / Rust,Pappy packrat + semantic backend,CLL + xorlo,2011-present,submodule,https://github.com/lojban/tersmu,GPL-3.0
tersmu (upstream),Martin Bays,Haskell,Pappy packrat + semantic backend,CLL + xorlo,2011-2023,submodule,https://gitlab.com/zugz/tersmu,GPL-3.0
typed-lojban,himikof,Haskell,parser,experimental,unknown,cite,https://github.com/himikof/typed-lojban,not verified
valfendi,Pierre Abbat,C++,hand-written lexer,morphology only,2014,submodule,https://github.com/phma/valfendi,no licence
visual-camxes,dag; LLG contributors,JavaScript,front-end,camxes standard,2011-2021,cite,https://github.com/lojban/visual-camxes,MIT
zasni gerna (xorxes),Jorge Llambías (xorxes),PEG,Parsing Expression Grammar,zasni gerna; unofficial,2015,vendor,wiki:zasni gerna@revid=111176,Lojban wiki terms
zasni-gerna (iocixes),Yoshikuni Jujo,Haskell,Papillon PEG,zasni gerna,2013-2019,submodule,https://github.com/YoshikuniJujo/zasni-gerna,BSD-3-Clause
zirsam,purpleposeidon,Python,hand-written,camxes-era,2009-2011,cite,https://github.com/lojban/zirsam,no licence
