date,reason
2004-04-05,no source file
2004-04-06,no source file
2004-04-07,no source file
2004-08-05,no source file
2004-08-23,no source file
2004-09-04,no source file
2004-09-05,no source file
2004-09-06,no source file
2004-09-07,no source file
2004-10-11,no source file
2004-10-29,no source file
2004-12-07,no source file
2005-04-03,no source file
2005-07-08,no source file
2005-12-18,no source file
2006-01-20,no source file
2006-04-02,no source file
2006-09-10,no source file
2006-10-02,no source file
2006-10-03,no source file
2006-10-04,no source file
2006-10-05,no source file
2006-11-03,no source file
2007-03-06,no source file
2007-03-11,no source file
2007-04-12,no source file
2007-06-25,no source file
2007-08-24,no source file
2007-09-02,no source file
2007-11-04,no source file
2007-12-02,no source file
2007-12-03,no source file
2007-12-08,no source file
2007-12-29,no source file
2008-01-06,no source file
2008-02-03,no source file
2008-02-04,no source file
2008-03-09,no source file
2008-09-04,no source file
2009-03-08,no source file
2010-01-16,no source file
2010-01-17,no source file
2010-01-18,no source file
2010-01-19,no source file
2010-01-20,no source file
2010-01-21,no source file
2010-01-22,no source file
2010-01-23,no source file
2010-01-24,no source file
2010-01-25,no source file
2010-01-26,no source file
2010-01-27,no source file
2010-03-14,no source file
2010-03-26,no source file
2010-08-12,no source file
2010-09-21,no source file
2010-09-22,no source file
2010-09-23,no source file
2010-09-24,no source file
2010-09-25,no source file
2010-09-26,no source file
2010-09-27,no source file
2010-09-28,no source file
2010-09-29,no source file
2010-09-30,no source file
2010-10-01,no source file
2010-10-02,no source file
2010-10-03,no source file
2010-10-04,no source file
2010-10-05,no source file
2010-10-06,no source file
2010-10-07,no source file
2010-10-08,no source file
2010-10-09,no source file
2010-10-10,no source file
2010-10-11,no source file
2010-10-12,no source file
2010-10-13,no source file
2010-10-14,no source file
2010-10-15,no source file
2010-10-16,no source file
2010-10-17,no source file
2010-10-18,no source file
2010-10-19,no source file
2010-10-20,no source file
2010-10-21,no source file
2010-10-22,no source file
2010-10-23,no source file
2010-10-24,no source file
2010-10-25,no source file
2010-10-26,no source file
2010-10-27,no source file
2010-10-28,no source file
2010-10-29,no source file
2010-10-30,no source file
2010-10-31,no source file
2010-11-01,no source file
2010-11-02,no source file
2010-11-03,no source file
2010-11-04,no source file
2010-11-05,no source file
2010-11-06,no source file
2010-11-07,no source file
2010-11-08,no source file
2010-11-09,no source file
2010-11-10,no source file
2010-11-11,no source file
2010-11-12,no source file
2010-11-13,no source file
2010-11-14,no source file
2010-11-15,no source file
2010-11-16,no source file
2010-11-17,no source file
2010-11-18,no source file
2010-11-19,no source file
2010-11-20,no source file
2010-11-21,no source file
2010-11-22,no source file
2010-11-23,no source file
2010-12-02,no source file
2010-12-04,no source file
2010-12-05,no source file
2010-12-06,no source file
2010-12-09,no source file
2010-12-10,no source file
2010-12-11,no source file
2010-12-12,no source file
2010-12-13,no source file
2010-12-15,no source file
2010-12-16,no source file
2010-12-17,no source file
2010-12-18,no source file
2010-12-19,no source file
2010-12-20,no source file
2010-12-21,no source file
2010-12-22,no source file
2010-12-23,no source file
2010-12-24,no source file
2010-12-25,no source file
2010-12-26,no source file
2010-12-27,no source file
2010-12-28,no source file
2010-12-29,no source file
2010-12-30,no source file
2010-12-31,no source file
2011-01-01,no source file
2011-01-02,no source file
2011-01-03,no source file
2011-01-04,no source file
2011-01-05,no source file
2011-01-06,no source file
2011-01-07,no source file
2011-01-08,no source file
2011-01-09,no source file
2011-01-10,no source file
2011-01-11,no source file
2011-01-12,no source file
2011-01-13,no source file
2011-01-14,no source file
