date,lines,messages,nicks,tz,format,source,days_observed,days_in_range,undated_lines,fragments
2000-05-26..2000-10-28,1460,1460,46,unknown,bracket,lojban/2000_all/2000_05_26--2000_10_28.txt,91,156,,1
2002-05-12..2002-11-28,13916,13869,149,unknown,bracket,lojban/2002_middle/2002_05_12--2002_11_28.txt,194,201,,1
2002-11-29..2002-12-26,1283,1278,29,unknown,bracket,lojban/2002_12/2002_11_29--2002_12_26.txt,27,28,,1
2002-12-27,62,61,4,unknown,undated,lojban/2002_12/2002_12_27.txt,,,62,1
2002-12-28,1,1,1,unknown,undated,lojban/2002_12/2002_12_28-12_41.txt,,,1,1
2002-12-30,23,23,10,unknown,undated,"lojban/2002_12/2002_12_30-02_41.txt,lojban/2002_12/2002_12_30-09_40.txt",,,23,2
2002-12-31,177,176,10,unknown,legacy+undated,"lojban/2002_12/2002_12_31-02_21.txt,lojban/2003_01/2003_01_01-02_21.txt",,,77,2
2003-01-01,31,30,8,unknown,legacy,"lojban/2003_01/2003_01_01-02_21.txt,lojban/2003_01/2003_01_02-02_21.txt",,,,2
2003-01-02,56,56,9,unknown,legacy,lojban/2003_01/2003_01_03-02_21.txt,,,,1
2003-01-03,17,17,5,unknown,legacy,lojban/2003_01/2003_01_04-02_21.txt,,,,1
2003-01-04,15,15,3,unknown,legacy,"lojban/2003_01/2003_01_04-02_21.txt,lojban/2003_01/2003_01_05-02_21.txt",,,,2
2003-01-05,11,11,3,unknown,legacy,lojban/2003_01/2003_01_06-02_22.txt,,,,1
2003-01-06,83,83,9,unknown,legacy,"lojban/2003_01/2003_01_06-02_22.txt,lojban/2003_01/2003_01_07-02_24.txt",,,,2
2003-01-07,64,64,5,unknown,legacy,lojban/2003_01/2003_01_08-02_23.txt,,,,1
2003-01-08,17,17,7,unknown,legacy,lojban/2003_01/2003_01_09-02_24.txt,,,,1
2003-01-09,40,40,5,unknown,legacy,"lojban/2003_01/2003_01_09-02_24.txt,lojban/2003_01/2003_01_10-02_23.txt",,,,2
2003-01-10,2,2,2,unknown,legacy,lojban/2003_01/2003_01_11-02_22.txt,,,,1
2003-01-11,11,11,5,unknown,legacy,lojban/2003_01/2003_01_12-02_22.txt,,,,1
2003-01-12,10,10,3,unknown,legacy,"lojban/2003_01/2003_01_12-02_22.txt,lojban/2003_01/2003_01_13-02_22.txt",,,,2
2003-01-13,45,45,5,unknown,legacy,lojban/2003_01/2003_01_14-02_27.txt,,,,1
2003-01-14,35,35,7,unknown,legacy,"lojban/2003_01/2003_01_14-02_27.txt,lojban/2003_01/2003_01_15-02_21.txt",,,,2
2003-01-15,14,14,5,unknown,legacy,lojban/2003_01/2003_01_16-02_22.txt,,,,1
2003-01-16,21,21,6,unknown,legacy,lojban/2003_01/2003_01_17-02_23.txt,,,,1
2003-01-17,17,17,3,unknown,legacy,lojban/2003_01/2003_01_18-02_24.txt,,,,1
2003-01-18,4,4,3,unknown,legacy,lojban/2003_01/2003_01_19-02_22.txt,,,,1
2003-01-19,6,6,3,unknown,legacy,"lojban/2003_01/2003_01_19-02_22.txt,lojban/2003_01/2003_01_20-02_22.txt",,,,2
2003-01-20,13,13,3,unknown,legacy,lojban/2003_01/2003_01_21-02_23.txt,,,,1
2003-01-21,7,7,4,unknown,legacy,lojban/2003_01/2003_01_22-02_22.txt,,,,1
2003-01-22,54,54,9,unknown,legacy,lojban/2003_01/2003_01_23-02_26.txt,,,,1
2003-01-23,15,15,6,unknown,legacy,lojban/2003_01/2003_01_24-02_23.txt,,,,1
2003-01-24,59,59,7,unknown,legacy,lojban/2003_01/2003_01_25-05_22.txt,,,,1
2003-01-25,1,1,1,unknown,legacy,lojban/2003_01/2003_01_25-05_22.txt,,,,1
2003-01-26,27,27,6,unknown,legacy+undated,"lojban/2003_01/2003_01_26-02_24.txt,lojban/2003_01/2003_01_27-02_22.txt",,,25,2
2003-01-27,54,54,8,unknown,legacy,lojban/2003_01/2003_01_28-02_24.txt,,,,1
2003-01-28,38,38,3,unknown,legacy,"lojban/2003_01/2003_01_28-02_24.txt,lojban/2003_01/2003_01_29-02_25.txt",,,,2
2003-01-29,16,16,5,unknown,legacy,"lojban/2003_01/2003_01_29-02_25.txt,lojban/2003_01/2003_01_30-02_24.txt",,,,2
2003-01-30,56,56,8,unknown,legacy,"lojban/2003_01/2003_01_30-02_24.txt,lojban/2003_01/2003_01_31-02_26.txt",,,,2
2003-01-31,24,24,6,unknown,legacy,lojban/2003_02/2003_02_01-02_27.txt,,,,1
