list,key,message_id,winner,winner_manifestation,loser,loser_manifestation
bpfk,id:17827717-e843-43da-aaef-d7d9f794375f@googlegroups.com,17827717-e843-43da-aaef-d7d9f794375f@googlegroups.com,"maildir-zip/bpfk/cur/1721691936.3122957_9.lebna:2,",lists-plain,maildir-zip/bpfk/new/1721691927.3122907_3.lebna,lists-plain
bpfk,id:200407282007.54183.phma@phma.hn.org,200407282007.54183.phma@phma.hn.org,"maildir-zip/bpfk/cur/1721692012.3123144_21.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692911.3183680_5.lebna:2,S",lists-plain
bpfk,id:200407282043.50910.phma@phma.hn.org,200407282043.50910.phma@phma.hn.org,"maildir-zip/bpfk/cur/1721692012.3123144_25.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692911.3183680_7.lebna:2,S",lists-plain
bpfk,id:200502150553.01735.phma@phma.hn.org,200502150553.01735.phma@phma.hn.org,"maildir-zip/bpfk/cur/1721692012.3123150_9.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692916.3183686_3.lebna:2,S",lists-plain
bpfk,id:200706222003.22043.phma@phma.optus.nu,200706222003.22043.phma@phma.optus.nu,"maildir-zip/bpfk/cur/1721692013.3123158_45.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692922.3183695_1.lebna:2,S",lists-plain
bpfk,id:20101017202931.gv25393@digitalkingdom.org,20101017202931.gv25393@digitalkingdom.org,"maildir-zip/bpfk/cur/1721692835.3172694_7.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692931.3183727_559.lebna:2,S",lists-plain
bpfk,id:20101026063822.gk1105@digitalkingdom.org,20101026063822.gk1105@digitalkingdom.org,"maildir-zip/bpfk/cur/1721692931.3183727_589.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692835.3172694_11.lebna:2,S",lists-plain
bpfk,id:20101026063932.gl1105@digitalkingdom.org,20101026063932.gl1105@digitalkingdom.org,"maildir-zip/bpfk/cur/1721692835.3172694_13.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692931.3183727_591.lebna:2,S",lists-plain
bpfk,id:20101106031404.gx9301@digitalkingdom.org,20101106031404.gx9301@digitalkingdom.org,"maildir-zip/bpfk/cur/1721692932.3183728_41.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692835.3172695_3.lebna:2,S",lists-plain
bpfk,id:20101106033028.gb12188@mercury.ccil.org,20101106033028.gb12188@mercury.ccil.org,"maildir-zip/bpfk/cur/1721692835.3172695_5.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183728_43.lebna:2,S",lists-plain
bpfk,id:20101106144732.ga27601@mercury.ccil.org,20101106144732.ga27601@mercury.ccil.org,"maildir-zip/bpfk/cur/1721692835.3172695_9.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183728_47.lebna:2,S",lists-plain
bpfk,id:20101225193023.gj8884@mercury.ccil.org,20101225193023.gj8884@mercury.ccil.org,"maildir-zip/bpfk/cur/1721692835.3172696_9.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183729_113.lebna:2,S",lists-plain
bpfk,id:20111223224926.gb30739@stodi.digitalkingdom.org,20111223224926.gb30739@stodi.digitalkingdom.org,maildir-zip/bpfk/new/1721691926.3122898_11.lebna,lists-plain,"maildir-zip/bpfk/cur/1721691936.3122957_3.lebna:2,",lists-plain
bpfk,id:5.1.0.14.0.20040706182359.00abcb60@pop.east.cox.net,5.1.0.14.0.20040706182359.00abcb60@pop.east.cox.net,"maildir-zip/bpfk/cur/1721692012.3123144_11.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692911.3183680_3.lebna:2,S",lists-plain
bpfk,id:5.1.0.14.0.20050214220556.03a3c260@pop.east.cox.net,5.1.0.14.0.20050214220556.03a3c260@pop.east.cox.net,"maildir-zip/bpfk/cur/1721692012.3123150_7.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692916.3183686_1.lebna:2,S",lists-plain
bpfk,id:5.2.0.9.0.20040704010714.038eb1b0@pop.east.cox.net,5.2.0.9.0.20040704010714.038eb1b0@pop.east.cox.net,"maildir-zip/bpfk/cur/1721692012.3123144_3.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692911.3183680_1.lebna:2,S",lists-plain
bpfk,id:80746897-bab0-11d7-a57e-003065d4ec72@optushome.com.au,80746897-bab0-11d7-a57e-003065d4ec72@optushome.com.au,"maildir-zip/bpfk/cur/1721692012.3123135_3.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692904.3183668_3.lebna:2,S",lists-plain
bpfk,id:a0a9abf1-d48c-4fd6-b0e8-dfb920730319@googlegroups.com,a0a9abf1-d48c-4fd6-b0e8-dfb920730319@googlegroups.com,"maildir-zip/bpfk/cur/1721691936.3122957_13.lebna:2,",lists-plain,maildir-zip/bpfk/new/1721691927.3122907_51.lebna,lists-plain
bpfk,id:a97c6620-62b0-11d7-aed5-003065d4ec72@optushome.com.au,a97c6620-62b0-11d7-aed5-003065d4ec72@optushome.com.au,"maildir-zip/bpfk/cur/1721692011.3123133_5.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692901.3183666_5.lebna:2,S",lists-plain
bpfk,id:aanlkti=5vnq5rbepaq2qrmwv_jxxjyiyf64fvv3m3-hi@mail.gmail.com,aanlkti=5vnq5rbepaq2qrmwv_jxxjyiyf64fvv3m3-hi@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172696_7.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183729_111.lebna:2,S",lists-plain
bpfk,id:aanlkti==nsjpta06_xbagkxrtd+qhrubj2ambv_e4hx1@mail.gmail.com,aanlkti==nsjpta06_xbagkxrtd+qhrubj2ambv_e4hx1@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172695_1.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183728_39.lebna:2,S",lists-plain
bpfk,id:aanlkti=chw9zaxfvn=wmglmty=9nk99ezzznkatzz7eq@mail.gmail.com,aanlkti=chw9zaxfvn=wmglmty=9nk99ezzznkatzz7eq@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172693_5.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692929.3183726_127.lebna:2,S",lists-plain
bpfk,id:aanlkti=ci5z2jjbmteeqdjphz1ztlvtja1rndp=hf19s@mail.gmail.com,aanlkti=ci5z2jjbmteeqdjphz1ztlvtja1rndp=hf19s@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172694_1.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692931.3183727_399.lebna:2,S",lists-plain
bpfk,id:aanlkti=h_ld+q6-cbssl-uz2ngkwuwrrkxnhnjup15pp@mail.gmail.com,aanlkti=h_ld+q6-cbssl-uz2ngkwuwrrkxnhnjup15pp@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172696_3.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183729_3.lebna:2,S",lists-plain
