list,key,message_id,winner,winner_manifestation,loser,loser_manifestation
jbosnu,id:000001c13f4f$f8f72fc0$952903d5@oemcomputer,000001c13f4f$f8f72fc0$952903d5@oemcomputer,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/351,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00281.html,mhonarc
jbosnu,id:000101c141b3$52a85700$e834ca3e@oemcomputer,000101c141b3$52a85700$e834ca3e@oemcomputer,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/355,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00285.html,mhonarc
jbosnu,id:000b01c13af3$eb910be0$f834ca3e@oemcomputer,000b01c13af3$eb910be0$f834ca3e@oemcomputer,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/347,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00276.html,mhonarc
jbosnu,id:000f01c1413c$6b7bc040$303303d5@oemcomputer,000f01c1413c$6b7bc040$303303d5@oemcomputer,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/353,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00283.html,mhonarc
jbosnu,id:001001c1413c$6c3c0300$303303d5@oemcomputer,001001c1413c$6c3c0300$303303d5@oemcomputer,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/356,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00286.html,mhonarc
jbosnu,id:01021222375002.00787@linux,01021222375002.00787@linux,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/175,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00085.html,mhonarc
jbosnu,id:011301c229a0$d7d71b20$0ba403d5@oemcomputer,011301c229a0$d7d71b20$0ba403d5@oemcomputer,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/455,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00396.html,mhonarc
jbosnu,id:01bf6ba7$96aa0ae0$localhost@jorge,01bf6ba7$96aa0ae0$localhost@jorge,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/24,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00157.html,mhonarc
jbosnu,id:01bf6c69$7caad6c0$22f729c8@jorge,01bf6c69$7caad6c0$22f729c8@jorge,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/25,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00168.html,mhonarc
jbosnu,id:01bf6ce3$87bab740$28f729c8@jorge,01bf6ce3$87bab740$28f729c8@jorge,https://mail.lojban.org/lists/jbosnu_raw.zip/jbosnu_raw/26,jbosnu-raw,https://mail.lojban.org/lists/jbosnu/msg00179.html,mhonarc
