list,key,message_id,winner,winner_manifestation,loser,loser_manifestation
lojban-beginners,fallback:1c5ca837b9abdc4b900d6341f677b83e134a7183d718b144f9d4c80d19132194,2df423f35e82728bc08b42fb67f2272c55f0585a@jbomohi.invalid,"maildir-zip/lojban-beginners/cur/1721701038.3709028_649.lebna:2,S",lists-plain,"maildir-zip/lojban-beginners/cur/1721701038.3709028_651.lebna:2,S",lists-plain
lojban-beginners,fallback:493001058d12dbe45522630d9c3e2cf01be9bc7daa0bc49c2f5dd6b381d444cd,e959e436e9bfceb1357747a60bbd912b93fcb421@jbomohi.invalid,"maildir-zip/lojban-beginners/cur/1721701038.3709028_417.lebna:2,S",lists-plain,"maildir-zip/lojban-beginners/cur/1721701038.3709028_419.lebna:2,S",lists-plain
lojban-beginners,fallback:abb2d34b9009431ec08df7a049402b3cb32096f2a61fd9405e0a2cc0ac2e6f88,a1d2c0d56c60a24ae4e36dac618d73c94eb4720f@jbomohi.invalid,"maildir-zip/lojban-beginners/cur/1721701037.3709028_325.lebna:2,S",lists-plain,"maildir-zip/lojban-beginners/cur/1721701037.3709028_327.lebna:2,S",lists-plain
lojban-beginners,fallback:bc2c9e40d141875d3a2e3aa1c9bc5bb0c128448a33c79949c6d9c242d5f7b775,939fd1464d08cfad2438d34e21ea7eb53108ab0f@jbomohi.invalid,"maildir-zip/lojban-beginners/cur/1721701040.3709029_541.lebna:2,S",lists-plain,"maildir-zip/lojban-beginners/cur/1721701040.3709029_543.lebna:2,S",lists-plain
lojban-beginners,fallback:dd42f0bd493db2166cc651c6de2612dff892bf76caf0877148a9358bfadc570a,58250cb547bc6063bc54792ccf99727206b34b02@jbomohi.invalid,"maildir-zip/lojban-beginners/cur/1721701041.3709029_717.lebna:2,S",lists-plain,"maildir-zip/lojban-beginners/cur/1721701041.3709029_719.lebna:2,S",lists-plain
lojban-beginners,fallback:deff131682d314261129001ffb9084876cb05500a1a07990cc7ac503fdee0161,57f3abf60c204d846172a4290c6fa35029e222f8@jbomohi.invalid,"maildir-zip/lojban-beginners/cur/1721701041.3709029_847.lebna:2,S",lists-plain,"maildir-zip/lojban-beginners/cur/1721701041.3709029_849.lebna:2,S",lists-plain
lojban-beginners,id:-5151618732968964150@unknownmsgid,-5151618732968964150@unknownmsgid,maildir-zip/lojban-beginners/new/1721698078.3259676_43.lebna,lists-plain,https://mail.lojban.org/lists/lojban-beginners/msg09225.html,mhonarc
lojban-beginners,id:000001c31d95$13e42fc0$0901000a@btcmp21,000001c31d95$13e42fc0$0901000a@btcmp21,"maildir-zip/lojban-beginners/cur/1721698674.3404044_71.lebna:2,S",lists-plain,https://mail.lojban.org/lists/lojban-beginners/msg00326.html,mhonarc
lojban-beginners,id:000001c31d95$13e42fc0$0901000a@btcmp21,000001c31d95$13e42fc0$0901000a@btcmp21,"maildir-zip/lojban-beginners/cur/1721698674.3404044_71.lebna:2,S",lists-plain,https://mail.lojban.org/lists/lojban-beginners/msg15157.html,mhonarc
lojban-beginners,id:000001c31d95$13e42fc0$0901000a@btcmp21,000001c31d95$13e42fc0$0901000a@btcmp21,"maildir-zip/lojban-beginners/cur/1721698674.3404044_71.lebna:2,S",lists-plain,"maildir-zip/lojban-beginners/cur/1721701229.3710787_1.lebna:2,S",lists-plain
