list,key,message_id,winner,winner_manifestation,loser,loser_manifestation
lojban-list,fallback:087f5320532eab88b48cc214044134a7de0db9caaffc7f6ea01c4508df0834df,500bea3b973f4ccce2d7b12cee87843827f25ddb@jbomohi.invalid,"maildir-zip/lojban-list/cur/1721706927.4080455_239.lebna:2,S",lists-plain,"maildir-zip/lojban-list/cur/1721706927.4080455_243.lebna:2,S",lists-plain
lojban-list,fallback:08e82d75bbdeabb6018f66a2f523bcdb085d642e65372ee1bd203d76699a0533,63b0d9cb53662165e235b513ae073b230e887333@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9309.gz#122,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9309.gz#123,files-mbox
lojban-list,fallback:0b5afccdfd6b6cf9ae24292a6b392cd328af633f2896cfafe6c5ad86908de957,87d8608afd02062f95681623fea7b6ddc693210e@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9503.gz#29,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9503.gz#30,files-mbox
lojban-list,fallback:0ffdd449d439be41b38bd2911d2071370faddb8b09cdf819c96b3059f0df4b0c,ba8e8504cd421df9fb07e9beae5857fa9d69cd9a@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9309.gz#118,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9309.gz#119,files-mbox
lojban-list,fallback:133d796ac6dfc034c13ab43e83361611d1d781ad031c5d9ed11e8fdbf60abbc9,53f9b0df348e8d1f935f7cb47b5c8efb113a1706@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9309.gz#70,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9309.gz#71,files-mbox
lojban-list,fallback:186726ad91bf91c3712318c77f1c976776957506d0ec2f7d44c7edaebc6e7d0a,c2ffe155bd7fe5f9f784f5965e379300dd3bb062@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9305.gz#32,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9305.gz#33,files-mbox
lojban-list,fallback:18eeb28f0e1d2d8a4b2bd4bb29d17e4df19f14c881dc778e100e3f2a825b0438,118744cf0fdf7a61d6ab1c2305275f2c88b2791c@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9703.gz#85,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9703.gz#84,files-mbox
lojban-list,fallback:1b10bff20b2374ec751ef67640fc02a8604df8bc65705a4424db33e49d3af1d7,be040ebaae9737e9960f3bf7cf4a78f81a85e9c7@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9612.gz#115,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9612.gz#114,files-mbox
lojban-list,fallback:1c9b04b50da7f9674a859862a4667169824427127b80cc0b9c14012e7dd066c3,637f529ceb2ea68e377dfed5d81c39c8b1d66a86@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#103,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#104,files-mbox
lojban-list,fallback:274660d2d529255e66202e4d5f37e4ab0cfefeb48227a155965ecd57b47776af,34e5b7b6902e1f14e7ac3b4c3a87f216c87b2654@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9306.gz#46,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9306.gz#47,files-mbox
lojban-list,fallback:29b8f5c36b2eb41286c73893389558ed7a29bcaef7cea99c38bc224dc782895d,55157d4ad52eb74a4c5ee72b04524ad711e00cc3@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#411,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#412,files-mbox
lojban-list,fallback:36d47b6313ff75934c3d984c9a7938dfae8efe7cc394ef5b8edbc47ea76946cc,670633d1e74a0c19e7a41ab454e6340fbf86d003@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9503.gz#122,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9503.gz#123,files-mbox
lojban-list,fallback:3ea36a60af0f11a7cb64e0880a2c04f229774468183afa3801a580d56c2b1208,24dafff5b026471bb84035209665d6782d955897@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#78,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#79,files-mbox
lojban-list,fallback:3fe2ae1a55fbd3ee77f5d74b010dd51d7d57bff8bc620c586f8aae10cf62a382,245d8f1772ddb84fd8079331fa6d9f0068cdc950@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#250,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#251,files-mbox
lojban-list,fallback:4f49a8f89e4d6d23876d7df337499275b115ca11d2c24a344a34de987777f9b9,c965a554cf7788a33089084601a4452381e10588@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#284,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#285,files-mbox
lojban-list,fallback:4fd5642413f48dd38c1e54c6b6ed96e6e87e392e8ac792bc96609461032a6c89,7cb51679f3792f8955ddecb65d981dfabcf67c3e@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#206,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#207,files-mbox
lojban-list,fallback:56a57e2134890f06e95be2e7ad4645784cf98f95b3a95f5c8ef8ee30d22f9375,e0891d5a8aac43c0cb9ed0a4c1bdabe73208bba6@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#421,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#422,files-mbox
lojban-list,fallback:5fe977161a06154585ff86c09898dbbebb01d7d3a14b87e4e11d96d485f84aaf,c9b586ea38574e92439f9e8ca459bb9134ee4204@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9505.gz#68,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9505.gz#72,files-mbox
lojban-list,fallback:6724fa5c25655bbce8429870b1193fc5710828eb21ccde796846413429f1c7f2,60dacd7b341c42598e9cdf76dc034ff47171c361@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#408,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#409,files-mbox
lojban-list,fallback:6724fa5c25655bbce8429870b1193fc5710828eb21ccde796846413429f1c7f2,60dacd7b341c42598e9cdf76dc034ff47171c361@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#408,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#410,files-mbox
lojban-list,fallback:67faa4cf108685580f472742a499c0f4ca13e38018a1c9d1a452ac4053a96332,7c08d50338222189ceff01b9e89ab6bab407ad91@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9309.gz#78,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9309.gz#79,files-mbox
lojban-list,fallback:6cc8733700a6fdc597ea0a50311306aaf51f1c2d7f011f85b1004c8c0955a1cd,24d6cc388fd72af61251e9db3eaeccb8f71e0245@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#415,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#416,files-mbox
lojban-list,fallback:749644d659c7a80771e0ce3133b8ef2332c3ff4426e68dd9b912c9f6b94c3a3e,0487d4a54f776ae988185ebebd2fd9a7cdd2ae09@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#45,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#46,files-mbox
lojban-list,fallback:778de591acbf0e4f3f790dbe121864140621a2aec1ce728901c5be67d81e8a1f,6e2b80928cab8a2194aa7d19fbbf34eb3900b101@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9505.gz#177,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9505.gz#178,files-mbox
lojban-list,fallback:7a6f9358ad422709ae1bf4c990c9a5a707589f29ae60d5526f217f3be9cffb32,cfa7f6b1b3320038639c03b741a436772ad12fef@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#260,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#261,files-mbox
lojban-list,fallback:7d3310272f1fa5ff1175606de20308f4383d12400b3929d443efb7ff66798ab0,9813fef08e79427ca106bdecd2092621eff3da21@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#417,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#418,files-mbox
lojban-list,fallback:81187bdb5b3fe5ef4c62d52b95a93729c952503fbe306bff251ee9e10ec3d5c3,3150d4390ff883d4657f7b9677f95e1f5aed4261@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#253,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#254,files-mbox
lojban-list,fallback:8947870067a9632fff617c0e0e21e53470ca49672d774a5a3caf68ad080fa155,503cfb63f100d575cec8ef633dd8cfa0d289ef5f@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#244,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#245,files-mbox
lojban-list,fallback:94cd81e79a9ed86dbdba545d512ded61d3cb06b4921be0b32e7a53f2eee12c95,459dfc6539458d5fa2b2364b855f72f1c14770ac@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9305.gz#2,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9303.gz#110,files-mbox
lojban-list,fallback:94d3586e957edfc5a4fe8342c1ddea6b2010f7b2bf89ee892fa90ef24905d365,9c0a2395271b1192d31596960d440138e9f55d91@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#215,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#216,files-mbox
lojban-list,fallback:9cadfd220c8b5f8903c3eaa280891fd91e042909132b0ea1fb5b84671b2868ce,414344354eaf827f36ef3309578d3f7fa7be7b48@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#401,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#402,files-mbox
lojban-list,fallback:9ef456a60ce88d0082794eaecd63a7a160e960a283cb133bcb24f2e021208041,2a735df3194d952181f32ae8e37c8fff29b8311b@jbomohi.invalid,"maildir-zip/lojban-list/cur/1721704646.3775665_169.lebna:2,S",lists-plain,https://mail.lojban.org/lists/old_lojban-list/4287,old-lojban-list
lojban-list,fallback:a13a7ca0806b389f52a226b2490a91939b70c01a577a9265b98037f61b47fc82,7651c7eef0a5c6ef54ff10c96d22db7a71ab4173@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#425,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#426,files-mbox
lojban-list,fallback:aa6e3217727cc03dc0c79ad11e75ce0c7678024bb9811c37c6b3b76ed728794a,dabf8fabcca4e32cc26eaf9717736bfd4d9ca702@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#265,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#266,files-mbox
lojban-list,fallback:adf1c9395891141f9f9eccc3ac4b66ada805a46f5caff98ce48b70b15240560e,e5b12abbc4621f8143be8e4ae98222386dd410cf@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#246,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#247,files-mbox
lojban-list,fallback:ae01ebee4f206dbd4f18be4a13a811f5b2b6314a945e2e5bfe24c00256c0aa98,cd406679d2411d7e3c77133b15e413bdfe047146@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#208,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#209,files-mbox
lojban-list,fallback:b1bc0bf03c528a9bf8dbb4ead4546e3f584ec0b256544beaec1a38b84d7555b4,0d8058297a04f673b38e44a2e993bc24ba5ae83e@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#213,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#214,files-mbox
lojban-list,fallback:bbcb2eeb1cc1ec99b066ceef3984914f406d7431c2f5ddeb22ffbfca8524500c,b687c59ed06d30291d9a16c1bb253b392197a0f3@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#423,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#424,files-mbox
lojban-list,fallback:d031c6023aa2f232059d966db8390e3f29585703586e1c7faea51aa4adff6351,91be6de33dcdecdceedbc506ebcb137044a830fc@jbomohi.invalid,"maildir-zip/lojban-list/cur/1721706927.4080455_297.lebna:2,S",lists-plain,"maildir-zip/lojban-list/cur/1721706927.4080455_299.lebna:2,S",lists-plain
lojban-list,fallback:d0c25a7883cb80f0a9031512f436c06ac8d563da1c1fd4d9f27effb47f2c2653,6e3b338e43703a3a99cb28ca9641b3144f01cabd@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9503.gz#1,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9503.gz#2,files-mbox
lojban-list,fallback:d6d2861213b4259b4eb2e8ecc756565ccdb2b93b846a761fed1e4660b934f586,3eebb55b858ed211522476f181566cc2d1c1f9e8@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#427,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#428,files-mbox
lojban-list,fallback:d8fbd8b51a6a94e4defdcec8aac1f871e9fcf342ece55e7a2fc161f367142228,66a518d5a8a7b96340d2d944eaeb58927c3e8e62@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9512.gz#413,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9512.gz#414,files-mbox
lojban-list,fallback:e5f09f63d6ead88355a474016f323011166d122277212fb776c47b601fd07206,4cc3cee3b094acbfc87c8b557a7e98047a5a88ea@jbomohi.invalid,https://www.lojban.org/files/lojban-list/lojban-9303.gz#51,files-mbox,https://www.lojban.org/files/lojban-list/lojban-9303.gz#93,files-mbox
