title,state,path,current_version,current_source_id,versions,migrated_to
''Gismu'' Agentive And Non-Agentive,current,tiki/''Gismu''_Agentive_And_Non-Agentive.tiki,3,tiki=''Gismu''_Agentive_And_Non-Agentive@current,4,''Gismu'' Agentive And Non-Agentive
"''ca'ai'', ''ka'ei'' and ''nu'oi', and ''nau'a''",current,"tiki/''ca'ai'',_''ka'ei''_and_''nu'oi',_and_''nau'a''.tiki",1,"tiki=''ca'ai'',_''ka'ei''_and_''nu'oi',_and_''nau'a''@current",2,"''ca'ai'', ''ka'ei'' and ''nu'oi', and ''nau'a''"
"''ka'' versus ''du'u'', and ''ce'u'' and ''zo'e''",current,"tiki/''ka''_versus_''du'u'',_and_''ce'u''_and_''zo'e''.tiki",1,"tiki=''ka''_versus_''du'u'',_and_''ce'u''_and_''zo'e''@current",2,"''ka'' versus ''du'u'', and ''ce'u'' and ''zo'e''"
''nau'' as sumtcita,current,tiki/''nau''_as_sumtcita.tiki,1,tiki=''nau''_as_sumtcita@current,2,''nau'' as sumtcita
''pe'' necessary for ''sumti'' plus (BAI-type modifier) Gotcha,current,tiki/''pe''_necessary_for_''sumti''_plus_%28BAI-type_modifier%29_Gotcha.tiki,3,tiki=''pe''_necessary_for_''sumti''_plus_%28BAI-type_modifier%29_Gotcha@current,3,''pe'' necessary for ''sumti'' plus (BAI-type modifier) Gotcha
'Sixteen Rules' issue,current,tiki/'Sixteen_Rules'_issue.tiki,1,tiki='Sixteen_Rules'_issue@current,2,
'Tweeners,current,tiki/'Tweeners.tiki,1,tiki='Tweeners@current,2,'Tweeners
--And,current,tiki/%2D-And.tiki,1,tiki=%2D-And@current,2,
.alyn.post.,current,tiki/%2Ealyn%2Epost%2E.tiki,34,tiki=%2Ealyn%2Epost%2E@current,35,.alyn.post.
.aulun.,current,tiki/%2Eaulun%2E.tiki,1,tiki=%2Eaulun%2E@current,2,.aulun.
.djorden.,current,tiki/%2Edjorden%2E.tiki,1,tiki=%2Edjorden%2E@current,2,.djorden.
.i tavla fi la lojban ri,current,tiki/%2Ei_tavla_fi_la_lojban_ri.tiki,5,tiki=%2Ei_tavla_fi_la_lojban_ri@current,6,.i tavla fi la lojban ri
.iens.,current,tiki/%2Eiens%2E.tiki,1,tiki=%2Eiens%2E@current,2,.iens.
.iusris.,current,tiki/%2Eiusris%2E.tiki,2,tiki=%2Eiusris%2E@current,2,.iusris.
1997 Baseline Announcement,current,tiki/1997_Baseline_Announcement.tiki,2,tiki=1997_Baseline_Announcement@current,3,1997 Baseline Announcement
2002 version of ''loika zvati'',current,tiki/2002_version_of_''loika_zvati''.tiki,1,tiki=2002_version_of_''loika_zvati''@current,2,2002 version of ''loika zvati''
4-tuple,current,tiki/4-tuple.tiki,1,tiki=4-tuple@current,2,4-tuple
77739 With May 21,current,tiki/77739_With_May_21.tiki,,,1,
91419 Jiujiang associated with The far east News,current,tiki/91419_Jiujiang_associated_with_The_far_east_News.tiki,,,1,
95271 On the networking showing components doing,current,tiki/95271_On_the_networking_showing_components_doing.tiki,,,1,
98108 This magazine headlines writer Peng Yiye,current,tiki/98108_This_magazine_headlines_writer_Peng_Yiye.tiki,,,1,
99345 Hsinchu regional rural person indicated gem,current,tiki/99345_Hsinchu_regional_rural_person_indicated_gem.tiki,,,1,
A Cmavo for Unspecific Previously-Uttered Bridi,current,tiki/A_Cmavo_for_Unspecific_Previously-Uttered_Bridi.tiki,1,tiki=A_Cmavo_for_Unspecific_Previously-Uttered_Bridi@current,2,A Cmavo for Unspecific Previously-Uttered Bridi
A Place for Official Definitions,current,tiki/A_Place_for_Official_Definitions.tiki,1,tiki=A_Place_for_Official_Definitions@current,2,A Place for Official Definitions
A Vague PA,current,tiki/A_Vague_PA.tiki,1,tiki=A_Vague_PA@current,2,A Vague PA
A double negative remains negative gotcha,current,tiki/A_double_negative_remains_negative_gotcha.tiki,1,tiki=A_double_negative_remains_negative_gotcha@current,2,A double negative remains negative gotcha
A new watch design of Panerai which is an excelle,current,tiki/A_new_watch_design_of_Panerai_which_is_an_excelle.tiki,,,1,
A pound was five dollars,current,tiki/A_pound_was_five_dollars.tiki,1,tiki=A_pound_was_five_dollars@current,2,A pound was five dollars
A simple perl script for grepping the word lists with colorized output,current,tiki/A_simple_perl_script_for_grepping_the_word_lists_with_colorized_output.tiki,5,tiki=A_simple_perl_script_for_grepping_the_word_lists_with_colorized_output@current,5,A simple perl script for grepping the word lists with colorized output
ALL CAPS,current,tiki/ALL_CAPS.tiki,2,tiki=ALL_CAPS@current,3,ALL CAPS
About Lojban,current,tiki/About_Lojban.tiki,6,tiki=About_Lojban@current,7,About Lojban
About The Logical Language Group,current,tiki/About_The_Logical_Language_Group.tiki,7,tiki=About_The_Logical_Language_Group@current,7,About The Logical Language Group
Abstract Algebra,current,tiki/Abstract_Algebra.tiki,1,tiki=Abstract_Algebra@current,2,Abstract Algebra
Academy de Lojban,current,tiki/Academy_de_Lojban.tiki,1,tiki=Academy_de_Lojban@current,2,Academy de Lojban
Adam Cooper,current,tiki/Adam_Cooper.tiki,17,tiki=Adam_Cooper@current,18,Adam Cooper
Adam Lopresto,current,tiki/Adam_Lopresto.tiki,3,tiki=Adam_Lopresto@current,4,Adam Lopresto
Adam Raizen,current,tiki/Adam_Raizen.tiki,2,tiki=Adam_Raizen@current,3,Adam Raizen
Aeneid,current,tiki/Aeneid.tiki,1,tiki=Aeneid@current,2,Aeneid
Again: &quot;only&quot;,current,tiki/Again%3A_%26quot%3Bonly%26quot%3B.tiki,,,29,
Again: ''only'',current,tiki/Again%3A_''only''.tiki,32,tiki=Again%3A_''only''@current,2,Again: ''only''
AgainAgain,current,tiki/AgainAgain.tiki,1,tiki=AgainAgain@current,2,AgainAgain
Alan Libert,current,tiki/Alan_Libert.tiki,3,tiki=Alan_Libert@current,3,Alan Libert
Aleksej Serdyukov,current,tiki/Aleksej_Serdyukov.tiki,4,tiki=Aleksej_Serdyukov@current,5,
Alex Leith,current,tiki/Alex_Leith.tiki,2,tiki=Alex_Leith@current,3,Alex Leith
All you need is Everything,current,tiki/All_you_need_is_Everything.tiki,3,tiki=All_you_need_is_Everything@current,3,All you need is Everything
AllYourBase,current,tiki/AllYourBase.tiki,3,tiki=AllYourBase@current,4,AllYourBase
AllanBailey,current,tiki/AllanBailey.tiki,1,tiki=AllanBailey@current,2,AllanBailey
Allow BAI phrase to modify tense markers,current,tiki/Allow_BAI_phrase_to_modify_tense_markers.tiki,1,tiki=Allow_BAI_phrase_to_modify_tense_markers@current,2,Allow BAI phrase to modify tense markers
Allow forethought sumti tail connection,current,tiki/Allow_forethought_sumti_tail_connection.tiki,1,tiki=Allow_forethought_sumti_tail_connection@current,2,Allow forethought sumti tail connection
Allow free modifiers anywhere,current,tiki/Allow_free_modifiers_anywhere.tiki,1,tiki=Allow_free_modifiers_anywhere@current,2,Allow free modifiers anywhere
Allow tu'e...tu'u phrases as subsentences,current,tiki/Allow_tu'e%2E%2E%2Etu'u_phrases_as_subsentences.tiki,3,tiki=Allow_tu'e%2E%2E%2Etu'u_phrases_as_subsentences@current,3,Allow tu'e...tu'u phrases as subsentences
Alternate Orthographies,current,tiki/Alternate_Orthographies.tiki,12,tiki=Alternate_Orthographies@current,12,
AmericanNationalAnthem,current,tiki/AmericanNationalAnthem.tiki,1,tiki=AmericanNationalAnthem@current,2,AmericanNationalAnthem
An essay on gadri,current,tiki/An_essay_on_gadri.tiki,2,tiki=An_essay_on_gadri@current,2,An essay on gadri
And Rosta,current,tiki/And_Rosta.tiki,6,tiki=And_Rosta@current,5,And Rosta
Anglan,current,tiki/Anglan.tiki,4,tiki=Anglan@current,4,Anglan
Anglo-centrism,current,tiki/Anglo-centrism.tiki,1,tiki=Anglo-centrism@current,2,Anglo-centrism
Animated Lojban Logo,current,tiki/Animated_Lojban_Logo.tiki,4,tiki=Animated_Lojban_Logo@current,4,Animated Lojban Logo
