
!!!liste le'i farna

To whoever is making these: please add azimuth angle to these, since I don't understand half of them. --[tsali]

|N|{north!}|{berti}|B
|NEbE|{north by east!}|{bersunberberti}|BDBB
|NNE|{north northeast!}|{bersunberti}|BDB
|NEbN|{northeast by north!}|{bersunberstuna}|BDBD
|NE|{northeast!}|{berstuna}|BD
|NEbE|{northeast by east!}|{bersunsunberti}|BDDB
|ENE|{east northeast!}|{bersunstuna}|BDD
|EbN|{east by north!}|{bersunsunstuna}|BDDD
|E|{east!}|{stuna}|D
|EbS|{east by south!}|{nansunsunstuna}|NDDD
|ESE|{east southeast!}|{nansunstuna}|NDD
|SEbE|{southeast by east!}|{nansunsunsnanu}|NDDN
|SE|{southeast!}|{nanstuna}|ND
|SEbS|{southeast by south!}|{nansunynanstuna}|NDND
|SSE|{south southeast!}|{nansunsnanu}|NDN
|SbE|{south by east!}|{nansunynansnanu}|NDNN
|S|{south!}|{snanu}|N
|SbW|{south by west!}|{nansicnansnanu}|NVNN
|SSW|{south southwest!}|{nansicysnanu}|NVN
|SWbS|{southwest by south!}|{nansicnanstici}|NVNV
|SW|{southwest!}|{nanstici}|NV
|SWbW|{southwest by west!}|{nansicysicysnanu}|NVVN
|WSW|{west southwest!}|{nansicystici}|NVV
|WbS|{west by south!}|{nansicysicystici}|NVVV
|W|{west!}|{stici}|V
|WbN|{west by north!}|{bersicysicystici}|BVVV
|WNW|{west northwest!}|{bersicystici}|BVV
|NWbW|{northwest by west!}|{bersicysicyberti}|BVVB
|NW|{northwest!}|{berstici}|BV
|NWbN|{northwest by north!}|{bersicyberstici}|BVBV
|NNW|{north northwest!}|{bersicyberti}|BVB
|NbW|{north by west!}|{bersicyberberti}|BVBB


