These lujvo might possibly be bad, because they use {carmi} in the sense of {mutce}.

{caicni}                         carmi+cinmo:  ardent

{caicpe}                         carmi+cpedu:  to beg of someone [[request], (not ask for money)

{caicta}                         carmi+catlu:  to stare

{caidji}                         carmi+djica:  intense desire

{camcinla}                       carmi+cinla:  new [[moon]

{caivru}                         carmi+savru:  roaring:  

{caibra}                         carmi+barda:  huge

{camcarvi}                       carmi+carvi:  pours [[intense rain], emphasizing bulk/intensity

{camcikna}                       carmi+cikna:  wide awake

{camcilce}                       carmi+cilce:  wild (e.g. of weather)

{camcintungau}                   carmi+cinse+tunta+gasnu:  petting

{camcniri'a}                     carmi+cinmo+rinka:  extremely moving

{camganra}                       carmi+ganra:  intensely broad

{camgei}                         carmi+gleki:  intensely happy

{campei}                         carmi+pensi:  intensely think, concentrate

{camselci'i}                     carmi+se+cinri:  fan

{camselci'igri}                  carmi+se+cinri+girzu:  fandom

{caitcu}                         carmi+nitcu:  desperate

{camte'a}                        carmi+terpa:  horror

{camtoi}                         carmi+troci:  effortfully

{camvrici}                       carmi+vrici:  various:

{cmacai}                         cmalu+carmi:  tiny

{glacai}                         glare+carmi:  scalding

{jakcai}                         jarki+carmi:  very narrow
