{bacfendi} beyond+divide {batfendi} bite+divide

{badbadycrida} defend+defend+fairy {brabracrida} big+big+fairy

{badbi'o} defend+become {brabi'o} big+become

{badgai} defend+cover {bragai} big+cover

{badje'a} defend+polity {braje'a} big+polity

{badlai} defend+quantity {bralai} big+quantity

{badmau} defend+more {bramau} big+more

{badri'a} defend+cause {brari'a} big+cause

{badro'i} defend+rock {braro'i} big+rock

{badvau} defend+contain {bravau} big+contain

{badyde'i} defend+tooth {bradegji} big+finger

{badydzu} defend+walk {bradzu} big+walk

{badykruca} defend+intersect {brakruca} big+intersect

{badyplu} defend+island {braplu} big+island

{badysa'o} defend+slope {brasa'o} big+slope

{bakna'i} bovine+wing {baknakni} bovine+male

{baldakyxai} great+knife+injure {baldakyxa'i} great+knife+weapon

{balspe} great+married {bavyspe} future+married

{balvla} great+word {bavyvla} future+word

{bance'u} language+community {baucre} language+expert

{banskece'u} language+science+community {banskecre} language+science+expert

{barklo} out+local {ba'oklo} grow+local

{barselklo} out+2nd-place-of+local {ba'orselklo} grow+2nd-place-of+local

{barstu} out+site {ba'ostu} grow+site

{barstuna} out+east {ba'orstuna} grow+east

{baryri'a} out+cause {ba'onri'a} grow+cause

{batca'e} bite+shove {barca'e} out+shove

{batfle} bite+flow {barfle} out+flow

{batkalri} bite+open {barkalri} out+open

{batkla} bite+come {barkla} out+come

{batli'a} bite+leave {barli'a} out+leave

{batyterzga} bite+3rd-place-of+observe {barterzga} out+3rd-place-of+observe

{bavma'a} future+mountain {bavmamta} future+mother

{bebysna} foolish+sound {bebysa'i} foolish+stand

{befydai} abdomen+object {befsri} abdomen+ribbon

{beitca} carry+city {bejytcaci} transfer+custom

{bejytoi} transfer+try {bejyto'i} transfer+twist

{bendei} brain+full-day {jbedei} born+full-day

{bentutra} brain+territory {jbetutra} born+territory

{besysutra} son+fast {bensutra} brain+fast

{besyvau} son+contain {benvau} brain+contain

{biflu'a} breeze+route {bifkluza} breeze+loose

{bimpi'a} wall+crust {bimxra} wall+picture

{birtaupau} arm+phrase-compound+part {birtafpau} arm+garment+part

{bolga'axai} ball+rod+injure {bolga'axa'i} ball+rod+weapon

{bracau} big+without {ca'arcau} apparatus+without

{bradycni} enemy+emotion {bradyci'i} enemy+interesting

{braku'e} big+range {ca'arku'e} apparatus+range

{brape'a} big+spread {ca'arpe'a} apparatus+spread

{brezu'e} ready+act {besyzu'e} son+act

{brifi'i} predicate+invent {brifriti} predicate+offer

{buktraterjo'e} cloth+behave+3rd-place-of+joined {buktaiterjo'e} cloth+shape+3rd-place-of+joined

{burna'a} brown+year {burnanba} brown+bread

{ca'arbi'i} apparatus+between {ma'arbi'i} mountain+between

{ca'arfe'a} apparatus+crack {ma'arfe'a} mountain+crack

{ca'atru} apparatus+govern {ma'atru} mountain+govern

{cabma'a} now+mountain {cabmamta} now+mother

{camci'o} intense+young {caicni} intense+emotion

{camro'i} intense+rock {camtoi} intense+try

{cectci} and-(set)+tool {celtci} launcher+tool

{cemlei} community+class {crelei} expert+class

{cfabe'i} initiate+transfer {cfabei} initiate+carry

{cficku} flaw+book {fikcku} fiction+book

{cimdre} moist+heap {cimde'u} moist+dirt

{cimpi'a} moist+crust {cimxra} moist+picture

{cincta} sexual+look {cintycta} paint+look

{cinpu'a} sexual+pleasant {cintypu'a} paint+pleasant

{cistunta} summer+poke {cintunta} sexual+poke

{cisyselpli} summer+2nd-place-of+use {cinselpli} sexual+2nd-place-of+use

{citcro} young+pain {cnicro} emotion+pain

{citkansa} young+with {cnikansa} emotion+with

