# irc #jbosnu 2009-06-06 tz=unknown source=jbosnu/2009_06/2009_06_06-02_24.txt format=undated
--:--:-- -- Connected.
--:--:-- -- cmacis has joined.
--:--:-- -- cmacis has left the channel.
--:--:-- -- mu-zilla is now known as moozilla.
--:--:-- -- niha_off is now known as Nihathrael.
--:--:-- -- shoulson_ is now known as clsn.
--:--:-- -- Yoshua is now known as iocuar.
--:--:-- -- Nihathrael is now known as niha_off.
--:--:-- -- cirzgamanti` is now known as cirzgamanti.
--:--:-- -- erth64net is now known as erth.
--:--:-- -- tomprince1 is now known as tomprince.
--:--:-- -- niha_off is now known as Nihathrael.
--:--:-- -- Nihathrael is now known as niha_off.
--:--:-- -- niha_off is now known as Nihathrael.
--:--:-- -- Nihathrael is now known as niha_off.
--:--:-- -- cirzgamanti` is now known as cirzgamanti.
