# irc #jbosnu 2009-12-11 tz=unknown source=jbosnu/2009_12/2009_12_11-02_21.txt format=undated
--:--:-- -- Connected.
--:--:-- -- mercury^_ is now known as mercury^.
--:--:-- -- drisma is now known as djanatyn.
--:--:-- -- djanatyn is now known as narkaknyfautavla.
--:--:-- -- narkaknyfautavla is now known as dust.
--:--:-- -- dust is now known as dusta.
--:--:-- -- dusta is now known as dustavla.
--:--:-- -- dustavla is now known as djanatyn.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- cmacis1 is now known as cmacis.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- djanatyn-nanba is now known as djanatyn-danlu.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- Disconnected.
