# irc #jbosnu 2010-03-15 tz=unknown source=jbosnu/2010_03/2010_03_15-03_48.txt format=undated
--:--:-- -- Connected.
--:--:-- <card.freenode.net> *** Notice -- TS for #jbosnu changed from 1268475781 to 1264760553
--:--:-- -- ChanServ has joined.
--:--:-- -- ChanServ has left the channel.
--:--:-- -- Toot^Bed is now known as Tootoot222.
--:--:-- -- selbeimanti` is now known as selbeimanti.
--:--:-- -- Fraeon_ is now known as Fraeon.
--:--:-- -- Fraeon_ is now known as Fraeon.
--:--:-- -- Fraeon_ is now known as Fraeon.
--:--:-- -- LBLK is now known as fenki_labno.
--:--:-- -- ashtif_ is now known as ashtif.
--:--:-- -- cirzgamanti`` is now known as cirzgamanti.
--:--:-- -- Pasqual__ is now known as Pasqual||on.
--:--:-- -- Moddington is now known as Mod_Work.
--:--:-- -- Tootoot222 is now known as Toot^Bed.
--:--:-- -- Hugglesworth is now known as lorx.
--:--:-- -- coyo is now known as SleepingYote.
--:--:-- -- jofo_ is now known as jofo.
--:--:-- -- CodeBlock` is now known as CodeBlock.
--:--:-- -- Toot^Bed is now known as Tootoot222.
--:--:-- -- tajha is now known as tajys.
--:--:-- -- cirzgamanti`` is now known as cirzgamanti.
--:--:-- -- saizai_ is now known as saizai.
--:--:-- -- mefistof1les is now known as mefistofeles.
--:--:-- -- dbrock-_ is now known as dbrock.
--:--:-- -- tajha is now known as tajys.
--:--:-- -- Disconnected.
