# irc #jbosnu 2010-05-30 tz=unknown source=jbosnu/2010_05/2010_05_30-02_21.txt format=undated
--:--:-- -- Connected.
--:--:-- <brown.freenode.net> *** Notice -- TS for #jbosnu changed from 1275124898 to 1264760553
--:--:-- -- ChanServ has joined.
--:--:-- -- ChanServ has left the channel.
--:--:-- -- hk|asleep is now known as hk.
--:--:-- -- esot3ric_ is now known as esot3ric.
--:--:-- -- dbrock-_ is now known as dbrock.
--:--:-- -- Zen_Clark is now known as Zen_Clark|Away.
--:--:-- -- Zen_Clark|Away is now known as Zen_Clark.
--:--:-- -- CodeBloc1 is now known as CodeBlock.
--:--:-- -- hk is now known as hk|asleep.
--:--:-- -- esot3ric_ is now known as esot3ric.
--:--:-- -- coyo is now known as bandu.
--:--:-- -- dbrock-_ is now known as dbrock.
