# irc #jbosnu 2010-07-28 tz=unknown source=jbosnu/2010_07/2010_07_28-02_21.txt format=undated
--:--:-- -- Connected.
--:--:-- <holmes.freenode.net> *** Notice -- TS for #jbosnu changed from 1280222501 to 1264760553
--:--:-- -- ChanServ has joined.
--:--:-- -- ChanServ has left the channel.
--:--:-- -- 50UAAF00L is now known as br.
--:--:-- -- br is now known as Guest26184.
--:--:-- -- Guest26184 is now known as burr_.
--:--:-- -- burr_ is now known as anything.
--:--:-- -- anything is now known as nothing.
--:--:-- -- nothing is now known as the.
--:--:-- -- the is now known as burr_.
--:--:-- -- Modd_sleep is now known as Moddington.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- Tene_ is now known as Tene.
--:--:-- -- rlpowell_ is now known as rlpowell.
--:--:-- -- moose is now known as Guest78620.
--:--:-- -- sshc is now known as sshc_.
--:--:-- -- sshc_ is now known as sshc.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- iocuarnazvati is now known as iocuar.
--:--:-- -- linkmast1r03 is now known as linkmaster03.
--:--:-- -- iocuar is now known as iocuarnazvati.
--:--:-- -- jofo__ is now known as jofo.
--:--:-- -- Disconnected.
