# irc #jbosnu 2010-09-01 tz=unknown source=jbosnu/2010_09/2010_09_01-02_21.txt format=undated
--:--:-- -- Connected.
--:--:-- <pratchett.freenode.net> *** Notice -- TS for #jbosnu changed from 1283246496 to 1264760553
--:--:-- -- ChanServ has joined.
--:--:-- -- ChanServ has left the channel.
--:--:-- -- nalcij[afk] is now known as jincal.
--:--:-- -- jincal is now known as jinlac.
--:--:-- -- Moddington is now known as Modd_sipna.
--:--:-- -- hdhoang0 is now known as hdhoang.
--:--:-- -- jinlac is now known as jinlacsur.
--:--:-- -- jinlacsur is now known as jinlac.
--:--:-- -- Modd_sipna is now known as Moddington.
--:--:-- -- lindar_ is now known as lindar.
--:--:-- -- Warrigal is now known as tswett.
--:--:-- -- rlpowell is now known as rlpowell-treed.
--:--:-- -- treed is now known as treed-rlpowell.
--:--:-- -- rlpowell-treed is now known as treed.
--:--:-- -- treed-rlpowell is now known as rlpowell.
--:--:-- -- rlpowell is now known as urmom.
--:--:-- -- tswett is now known as rlpowell.
--:--:-- -- urmom is now known as tswett.
--:--:-- -- lindar is now known as stephenpollei.
--:--:-- -- stephenpollei is now known as lindar.
--:--:-- -- rlpowell is now known as unused_nick.
--:--:-- -- treed is now known as rplowell.
--:--:-- -- tswett is now known as treed.
--:--:-- -- rplowell is now known as rlpowell.
--:--:-- -- unused_nick is now known as tswett.
--:--:-- -- sshc_ is now known as sshc.
--:--:-- -- lindar_ is now known as lindar.
--:--:-- -- jinlac is now known as clijan.
--:--:-- -- clijan is now known as canjil.
--:--:-- -- canjil is now known as canlij.
--:--:-- -- jofo__ is now known as jofo.
--:--:-- -- daef is now known as daef[deHa].
--:--:-- -- canlij is now known as canlij[zi].
--:--:-- -- canlij[zi] is now known as canlij.
--:--:-- -- canlij is now known as canlij[zi].
--:--:-- -- Disconnected.
