# irc #jbosnu 2010-09-03 tz=unknown source=jbosnu/2010_09/2010_09_03-02_21.txt format=undated
--:--:-- -- Connected.
--:--:-- <kornbluth.freenode.net> *** Notice -- TS for #jbosnu changed from 1283419301 to 1264760553
--:--:-- -- ChanServ has joined.
--:--:-- -- ChanServ has left the channel.
--:--:-- -- Moddington is now known as Modd_sipna.
--:--:-- -- jofo__ is now known as jofo.
--:--:-- -- kampu_kajypla is now known as kampu.
--:--:-- -- linkmaster03 is now known as Guest59688.
--:--:-- -- Modd_sipna is now known as Modd_away.
--:--:-- -- equi is now known as equi|out.
--:--:-- -- HobGoblin is now known as Guest28450.
--:--:-- -- Etsun is now known as Twey.
--:--:-- -- Twey is now known as Guest11646.
--:--:-- -- Guest11646 is now known as Twey.
--:--:-- -- xalbo_ is now known as xalbo.
--:--:-- -- meppel is now known as meppl.
--:--:-- -- lorx|sipna is now known as Hugglesworth.
--:--:-- -- sshc_ is now known as sshc.
--:--:-- -- Hugglesworth is now known as Moddingblah.
--:--:-- -- Moddingblah is now known as Hugglesworth.
--:--:-- -- Hugglesworth is now known as Moddington.
--:--:-- -- Moddington is now known as Hugglesworth.
--:--:-- -- Hugglesworth is now known as lorx|xalbebna.
--:--:-- -- Hugglesworth is now known as lorx.
--:--:-- -- mrtanuki is now known as djancak.
--:--:-- -- Guest28450 is now known as UukGoblin.
--:--:-- -- Disconnected.
