# irc #jbosnu 2010-09-08 tz=unknown source=jbosnu/2010_09/2010_09_08-02_21.txt format=undated
--:--:-- -- Connected.
--:--:-- <hubbard.freenode.net> *** Notice -- TS for #jbosnu changed from 1283851290 to 1264760553
--:--:-- -- ChanServ has joined.
--:--:-- -- ChanServ has left the channel.
--:--:-- -- Moddington is now known as Modd|sipna.
--:--:-- -- lorx|sipna is now known as Hugglesworth.
--:--:-- -- Modd|sipna is now known as Moddington.
--:--:-- -- Hugglesworth is now known as lorx|nazvati.
--:--:-- -- bandu is now known as coyo.
--:--:-- -- lorx|nazvati is now known as Hugglesworth.
--:--:-- -- 84XAAWXY0 is now known as bur.
--:--:-- -- kampu is now known as kampu[juk].
--:--:-- -- jcowan_ is now known as jcowan.
--:--:-- -- mrtanuki is now known as djancak.
--:--:-- -- tomoj` is now known as tomoj.
--:--:-- -- kampu[juk] is now known as kampu.
--:--:-- -- lindar_ is now known as lindar.
--:--:-- -- meppel is now known as meppl.
--:--:-- -- kampu is now known as kampu[deha].
--:--:-- -- kampu[deha] is now known as kaurdeha.
--:--:-- -- kampu is now known as kaurdeha.
--:--:-- -- kaurdeha is now known as kampu.
--:--:-- -- Disconnected.
