# mail/lojban-list thread 87e952118d75-no_subject | root 199308170405.aa00626@eli.cs.yale.edu | 1 messages | rendered by jbomohi mail-v1

=== 1 | 1993-08-17T04:02:55Z | Logical Language Group <lojbab@GREBYN.COM> | 199308170405.aa00626@eli.cs.yale.edu | mail/lojban-list/cur/745560175.87e952118d75197a.jbomohi:2,S
ctonanca        100+year
ctucku  teach+book
ctufau  teach+event
ctunoi  teach+message
ctutertcidu     teach+3rd-place-of+read
cu'arselgre     choose+2nd-place-of+pass-through
cu'orna'u       random+number
cu'urzu'e       affair+act
cucti'e shoe+behind
cucycau shoe+without
cucyza'u        shoe+buttock
cucyzbi shoe+nose
cukmu'o round+complete
cukselbarna     round+2nd-place-of+mark
cuktai  round+shape
cukyganra       round+broad
culcpe  humble+request
cumselpei       possible+2nd-place-of+think
cumymu'efi'a    possible+universe+fiction
cundinkei       random+money+play
cunfai  random+distribute
cunkemdimnyfau  random+type-of+fate+event
cunkemdinkei    random+type-of+money+play
cunpenmi        random+meet
cupli'u loop+travel
curcrida        worm+fairy
cuxtinbe        choose+obey
da'acre fight+expert
da'ecma pressure+small
da'erca'u       pressure+space
dabjatna        fight+captain
dabycalku       fight+shell
dabysmifau      fight+similar+event
dabysnu fight+discuss
dadgau  hang+do
dadgreku        hang+frame
dadne'ota'u     hang+neck+garment
dadysli hang+oscillate
dafcpe  answer+request
dafsku  answer+express
dagysfe road+surface
dagytcityta'o   road+label+board
dakfyxa'i       knife+weapon
daklycka        sack+bed
dalcange        animal+farm
danlu'a projectile+route
dantyvau        projectile+contain
dapsku  curse+express
daptutra        curse+territory
dapydarxi       curse+hit
darctatci       far+look+tool
dargysinxa      road+sign
darkla  far+come
darnybajra      far+run
darstuna        far+east
darxa'u far+dwell
daryra'i        far+continue
daryri'a        far+cause
daskybukpu      pocket+cloth
daspypli        destroy+use
datcinglepre    other+sexual+copulate+person
datcinpampre    other+sexual+love+person
datcinselta'u   other+sexual+2nd-place-of+garment
datklu  other+culture
datkypi'u       duck+feather
datnyvau        data+contain
datnyvaugunma   data+contain+jointly
datpavycinglepre        other+1+sexual+copulate+person
datpavycinpampre        other+1+sexual+love+person
datpre  other+person
datygu'e        other+country
datygugvi'e     other+country+guest
daupro  argue+oppose
daxfle  hit+flow
dazmompru       all-but+-th+past
de'isru tooth+surround
degja'i finger+adorn
degja'o finger+show
degycpu finger+pull
degyke'a        finger+cavity
demcarvi        dense+rain
demcma  dense+small
demlanzu        dense+family
demri'a dense+cause
demspa  dense+plant
demtse  dense+sit
demxa'e dense+hand
denmikce        tooth+doctor
densai  tooth+meal
denterjo'e      tooth+3rd-place-of+joined
denvanbi        tooth+environment
depcni  wait+emotion
depri'a wait+cause
depstu  wait+site
derbanro        dirt+grow
derjbe  dirt+born
derni'a dirt+beneath
derni'agau      dirt+beneath+do
dersfe  dirt+surface
desygau shake+do
detcku  date+book
detkrefu        date+recur
di'esna radiate+sound
di'urpanka      building+park
dibdji  dear+desire
dibrai  dear+superlative
dibzda  dear+nest
dickansa        electric+with
dicrytadji      interrupt+method
dicycau electric+without
dicydenmi       electric+dense
dicysro electric+store
digyligykamju   drop+solid+column
dijbartu        building+out
dijlu'a building+route
dijysenta       building+layer
dikle'i regular+pay
diktanru        regular+phrase-compound
diktcika        regular+time-of-day
dikyjvo regular+affix-compound
dincpa  money+get
dinprami        money+love
dinseldunda     money+2nd-place-of+give
dinselxaksu     money+2nd-place-of+use-up
dinske  money+science
dinsro  money+store
dintro  money+control
dinydji money+desire
dirsno  interrupt+slow
dizmu'u low+move
dizrai  low+superlative
dizysna low+sound
dizytricu       low+tree
djabei  food+carry
djabeipre       food+carry+person
djacautsi       food+without+seed
djacpi  food+bird
djacysance      water+sound
djagurni        food+grain
djapagbu        food+part
djaruntygau     food+dissolve+do
djaselcrepu     food+2nd-place-of+harvest
djaspi  food+piece
djave'u food+sell
djecitsi        full-day+season
djedyrolmemcabrefkai    full-day+every+-some+now+recur+quality
djekarni        full-day+journal
djemidju        full-day+middle
djetei  full-day+time
djunoi  help+message
do'orgu'e       German+country
donma'o you+structure-word
donrymidju      daytime+middle
dormijbalvi     daytime+middle+future
dormijysai      daytime+middle+meal
drabai  correct+force
dracydi'u       drama+building
dracystu        drama+site
draga'i correct+modify
drarajytse      correct+vertical+sit
drari'a correct+cause
draseltai       correct+2nd-place-of+shape
dratyzu'e       other+act
driselsanga     sad+2nd-place-of+sing
dritrasma       sad+behave+quiet
drutapla        roof+tile
du'ecla excess+long
du'erda'o       excess+far
du'ervasxu      excess+breathe
du'ijbi equal+near
dubjavmau       =+and/or+more
dubjavme'a      =+and/or+less
dugyste logarithm+list
dujyca'a        freeze+apparatus
dujyku'a        freeze+room
dukri'a anguish+cause
duktysinso      opposite+sine
dukyba'u        anguish+utter
dusta'i excess+tired
dustordu        excess+short
dutpi'i opposite+multiply
dzeko'o elder+Scottish
dzispa  low+plant
dzugre  walk+pass-through
dzukansa        walk+with
dzukla  walk+come
dzuklaji        walk+street
dzuporkansa     walk+sequence+with
fa'erdu'i       reverse+equal
fa'erpo'a       reverse+explode
fa'ertisna      reverse+fill
fadycmene       ordinary+name
fagda'a fire+fight
fagdirpre       fire+interrupt+person
fagycfatci      fire+initiate+tool
fagyfesti       fire+waste
fagyfesyska     fire+waste+color
fagyka'u        fire+quantum
fagysti fire+cease
fagystigau      fire+cease+do
fagytergu'i     fire+3rd-place-of+illumine
fairbevri       distribute+carry
falbu'u fall+cloth
falcurmi        fall+let
falnybu'u       sail+cloth
famdakfu        end+knife
famyma'o        end+structure-word
fancyjufra      function+sentence
fankla  sail+come
fanvyca'a       translate+apparatus
fanvyca'ate'i   translate+apparatus+specific
farcne  direction+vary
fargau  direction+do
farja'o direction+show
fasygu'e        French+country
fatnynamcu      reverse+number
faurju'a        event+sentence
faurpai event+judge
favgau  develop+do
faxri'a forgive+cause
fazykei annoy+play
fazyta'a        annoy+talk
febgau  boil+do
fedgau  divide+do
fegba'u angry+utter
fegba'ugunta    angry+utter+attack
fegri'a angry+cause
fekpre  crazy+person
fekri'a crazy+cause
fekygei crazy+happy
fengidmo'a      sew+guide+pattern
fepsi'i cent+coin
fesydai waste+object
fetcinfo        female+lion
fetcitno        female+young
fetnalspe       female+other-than-+married
fetnolraitru    female+noble+superlative+govern
fetpe'o female+friend
fetprami        female+love
fetspe  female+married
ficri'a differ+cause
fikcku  fiction+book
filri'a easy+cause
finfriti        invent+offer
finpybirka      fish+arm
finpyfalnu      fish+sail
finpyrebla      fish+tail
fintyxu'a       invent+assert
fipcange        fish+farm
fipkalte        fish+hunt
firgai  face+cover
firkre  face+hair
firkrevi'u      face+hair+remove
firsku  face+express
flacau  law+without
flanaltinbe     law+other-than-+obey
flecarvi        flow+rain
fleri'u flow+restrain
fletisna        flow+fill
flobimvro       field+wall+door
flulimna        float+swim
fomke'acirla    foam+cavity+cheese
fomselci        foam+cell
foncasnu        telephone+discuss
fonjudri        telephone+address
fonta'a telephone+talk
fonynoi telephone+message
fraba'u react+utter
frasku  react+express
frecande'u      fertile+sand+dirt
fregau  fertile+do
frerai  fertile+superlative
freri'a fertile+cause
frikytutra      African+territory
frilymau        easy+more
frinyna'u       fraction+number
friseljmi       experience+2nd-place-of+understand
fu'ivla copy+word
fuzyka'eji'i    responsible+able+opine
fuzysku responsible+express
ga'acpu rod+pull
ga'arxa'i       rod+weapon
ga'avro rod+door
ga'orbi'o       closed+become
ga'orga'i       closed+modify
ga'orgau        closed+do
ga'ucla high+long
gacykicne       gas+cushion
gafto'a modify+tone
gafto'atci      modify+tone+tool
gafygau modify+do
gairbu'u        cover+cloth
gairgau cover+do
gairja'i        cover+adorn
gairki'e        cover+cushion
gairkosta       cover+coat
galbirka        high+arm
