# mail/lojban-list thread d5aa206095e4-no_subject | root 199308170406.aa00636@eli.cs.yale.edu | 1 messages | rendered by jbomohi mail-v1

=== 1 | 1993-08-17T04:03:05Z | Logical Language Group <lojbab@GREBYN.COM> | 199308170406.aa00636@eli.cs.yale.edu | mail/lojban-list/cur/745560185.d5aa206095e4117d.jbomohi:2,S
pa'arcau        hope+without
pa'ermau        perfect+more
pacraistu       evil+superlative+site
pacru'ipre      evil+spirit+person
pacruxtutra     evil+spirit+territory
pacyselzu'e     evil+2nd-place-of+act
pacyxlu evil+influence
pacyzu'e        evil+act
pafybu'a        father+brother
pafybunspeme'i  father+brother+married+sister
pairvu'e        judge+virtue
pakskaci        pants+skirt
palcau  profit+without
paltydamri      plate+drum
paltylu'i       plate+wash
paltylumca'a    plate+wash+apparatus
pamnabmi        love+problem
pampemyzba      love+poem+make
pamsa'a love+sing
pamta'a love+talk
pantydzu        protest+walk
pantypai        protest+judge
papcipni        peace+bird
papkufra        peace+comfort
papri'a peace+cause
paprysfe        page+surface
paprysfelai     page+surface+quantity
papygei peace+happy
paspalku        robe+pants
pasyskaci       robe+skirt
paurponse       part+possess
pavdeicitsi     1+full-day+season
pavjbe  1+born
pavmemjbe       1+-some+born
pavmomjbe       1+-th+born
pavmomsumti     1+-th+argument
pavycinglepre   1+sexual+copulate+person
pavycinpampre   1+sexual+love+person
pavyprudarxi    1+past+hit
pavysei 1+apart
pavyseljirna    1+2nd-place-of+horn
pavyskojmavra   1+cord+foot+lever
pavysumti       1+argument
pavyterfrinyna'u        1+3rd-place-of+fraction+number
pavyvalsi       1+word
pe'ocme friend+name
pecke'a touch+cavity
pecke'agai      touch+cavity+cover
pecta'o touch+board
pecta'osle      touch+board+cell
pectcu  touch+need
peinrei think+question
peircauji'i     think+without+opine
peirnunpe'i     think+event-of+meet
peirselra'u     think+2nd-place-of+trouble
peitse  think+sit
pejri'a spread+cause
pelselkre       yellow+2nd-place-of+hair
pelxynimre      yellow+citrus
pemcypau        poem+part
pemcypra        poem+produce
pemcysanga      poem+sing
pendyrai        friend+superlative
pengri  meet+group
penydjuxa'a     meet+help+letter
pespe'i think+meet
pesri'a think+cause
pesti'i think+suggest
pevbaknykalci   [figurative:]+bovine+feces
pevbatci        [figurative:]+bite
pevjicla        [figurative:]+stir
pevrisnyjelca   [figurative:]+heart+burn
pevycuvgau      [figurative:]+pure+do
pevzda  [figurative:]+nest
pezyfaltricu    leaf+fall+tree
pezysigja       leaf+cigar
pi'ejvi leap+compete
pibrango        pubic+organ
pibyta'u        pubic+garment
pidrai  poor+superlative
pifstidi'a      prisoner+cease+price
pijvri  wise+brave
pijvritra       wise+brave+behave
pimlyselpezli   feather+2nd-place-of+leaf
pincypra        urine+produce
pincyvi'i       urine+excrete
pinflani        level+flute
pinjyca'a       penis+apparatus
pinjydakli      penis+sack
pinjymolgle     penis+mouth+copulate
pinke'a level+cavity
pinkysku        comment+express
pipcinki        leap+insect
pipybanfi       leap+amphibian
pipyjalra       leap+cockroach
pirskicu        picture+describe
pitybli plane+block
pitytu'a        plane+land
pixri'a drink+cause
pixsalci        drink+celebrate
pixydji drink+desire
pizysostei      .+several-(of)+time
plafinti        plan+invent
plagau  plan+do
pledi'i paper+money
plesigja        paper+cigar
plexa'a paper+letter
plicru  use+let
pliri'a use+cause
plisyseltisna   apple+2nd-place-of+fill
plisytricu      apple+tree
plitadji        use+method
plityna'u       plane+number
plixau  use+good
plokarlycreka   fold+collar+shirt
po'arfa'u       explode+fall
po'aspo explode+destroy
poirja'este     sequence+result+list
pojma'a explode+mountain
pojri'a explode+cause
popri'a break+cause
popselgu'i      break+2nd-place-of+illumine
popygau break+do
porjmina        sequence+add
porla'i sequence+adjacent
porterfai       sequence+3rd-place-of+distribute
porveljmina     sequence+4th-place-of+add
posnei  possess+fond
posri'a possess+cause
posydji possess+desire
precau  person+without
pregri  person+group
pretai  person+shape
pretrocange     person+control+farm
pretypensi      question+think
prevelma'e      person+4th-place-of+vehicle
prezda  person+nest
prityxance      right+hand
prucedra        past+era
prucimri'a      past+moist+cause
prujeftu        past+week
prula'i past+adjacent
prula'icte      past+adjacent+night
pruru'a past+assume
pruselpli       past+2nd-place-of+use
pruselpo'e      past+2nd-place-of+possess
prusonci        past+soldier
pruxycrida      spirit+fairy
purlamdei       past+adjacent+full-day
purlamrai       past+adjacent+superlative
purpla  past+plan
pursofto        past+Soviet
ra'artei        pertain+time
ra'etci retain+tool
ra'irta'a       continue+talk
ra'udri trouble+sad
ra'urcau        trouble+without
racmau  delicate+more
rairgugde       superlative+country
rairnau superlative+man
rajma'a vertical+mountain
rajycla vertical+long
rajyclamau      vertical+long+more
rajyflani       vertical+flute
rajyke'a        vertical+cavity
rajykevloi      vertical+cavity+floor
rajymudri       vertical+wood
rajysirdra      vertical+straight+correct
rajyto'agri     vertical+tone+group
rajytu'u        vertical+tube
ralgau  principal+do
ralselva'i      principal+2nd-place-of+value
raltca  principal+city
ramble  myth+weak
ranbo'u soft+bone
rancimde'u      soft+moist+dirt
rancimderke'a   soft+moist+dirt+cavity
rancindu        soft+oak
rapciksi        repeat+explain
rapterpreti     repeat+3rd-place-of+question
rapydarxi       repeat+hit
rarbau  natural+language
rarfla  natural+law
rargerna        natural+grammar
rarjva  natural+rule
rarlanlyske     natural+analyze+science
rarmi'e natural+command
rarske  natural+science
rartapla        natural+tile
rarvanbi        natural+environment
rastergu'i      grease+3rd-place-of+illumine
rasyselpilka    grease+2nd-place-of+crust
ratmidju        atom+middle
ratske  atom+science
ravycta across+look
ravypi'e        across+leap
re'azda human+nest
re'ojvi throw+compete
rectangle       meat+sky+copulate
recyjupcarca'a  meat+cook+turn+apparatus
redgau  ready+do
refsipna        recur+sleep
refsku  recur+express
refyfa'i        recur+discover
rejgau  record+do
rejyse'u        record+serve
rejyseljibri    record+2nd-place-of+job
rekybo'u        frame+bone
relba'eterka'a  2+blade+3rd-place-of+cut
relcimdyna'u    2+dimension+number
relcinglepre    2+sexual+copulate+person
relcinpampre    2+sexual+love+person
relcte  2+night
